"","Start date","State","Duration of 'high' episode (weeks)","Weekly cases per 100K","Weekly hospital admissions per 100K","Percentage of inpatient beds occupied by COVID-19 patients","Weekly deaths per 100K 21 days after start","Binding indicator","max","check_bound","check_bound2","type"
"123",2022-02-16,"Colorado",1,238,12.2596347531819,9.96109764191175,0.77,"Hosps",5.88,FALSE,FALSE,"End"
"124",2022-02-16,"Delaware",1,207,16.7391688335161,8.15826488084695,4.2,"Hosps",6.44,FALSE,FALSE,"End"
"125",2022-02-16,"Florida",1,235,24.5696276102087,10.9927620491086,4.69,"Hosps",6.72,FALSE,FALSE,"End"
"126",2022-02-16,"Georgia",1,197,18.5449896834665,15.8608582288588,3.85,"Hosps",6.23,FALSE,FALSE,"End"
"127",2022-02-16,"Hawaii",1,284,14.4080820865163,9.28356623426448,1.4,"Hosps",2.94,FALSE,FALSE,"End"
"128",2022-02-16,"Illinois",1,207,13.2498715062342,8.58272270226049,1.61,"Hosps",8.54,FALSE,FALSE,"End"
"129",2022-02-16,"Indiana",1,210,18.7902384043062,12.1789742896294,2.8,"Hosps",10.99,FALSE,FALSE,"End"
"130",2022-02-16,"Iowa",1,249,15.2769986085887,9.58187999748051,2.87,"Hosps",5.81,FALSE,FALSE,"End"
"131",2022-02-16,"Kansas",1,266,19.2907458653616,12.3977712266026,1.05,"Hosps",8.19,FALSE,FALSE,"End"
"132",2022-02-16,"Louisiana",1,252,20.3708746827672,10.1372143088807,3.36,"Hosps",6.16,FALSE,FALSE,"End"
"133",2022-02-16,"Michigan",1,206,16.3715170849047,12.0560139195167,3.71,"Hosps",8.89,FALSE,FALSE,"End"
"134",2022-02-16,"Minnesota",1,382,12.3589624287542,12.2032923587732,1.68,"Hosps",5.18,FALSE,FALSE,"End"
"135",2022-02-16,"Mississippi",1,366,15.9266219534035,15.8231439897435,3.78,"Hosps",13.3,FALSE,FALSE,"End"
"136",2022-02-16,"Missouri",1,298,21.8332500193892,15.516124154981,4.2,"Hosps",10.15,FALSE,FALSE,"End"
"137",2022-02-16,"Nevada",1,164,21.395020252221,13.8975772928743,3.99,"Hosps",7.14,FALSE,FALSE,"End"
"138",2022-02-16,"New Hampshire",1,418,14.0471026563733,6.74675700773299,1.54,"Hosps",5.53,FALSE,FALSE,"End"
"139",2022-02-16,"North Dakota",1,413,21.5205586946994,10.9650200862105,2.52,"Hosps",6.58,FALSE,FALSE,"End"
"140",2022-02-16,"Oregon",1,327,15.8141676448769,17.4601949083264,3.5,"Hosps",3.78,FALSE,FALSE,"End"
"141",2022-02-16,"South Dakota",1,186,23.1727705251402,14.3575052152014,3.36,"Hosps",5.88,FALSE,FALSE,"End"
"142",2022-02-16,"Texas",1,268,21.5513368950576,15.2041717765665,2.66,"Hosps",5.18,FALSE,FALSE,"End"
"143",2022-02-16,"Utah",1,281,19.4949528346909,14.2458106731362,1.82,"Hosps",3.08,FALSE,FALSE,"End"
"144",2022-02-16,"Virginia",1,270,15.5936622014432,12.6429237190645,3.29,"Hosps",10.43,FALSE,FALSE,"End"
"145",2022-02-16,"Washington",1,273,12.5018171627625,13.7242634307919,2.52,"Hosps",5.04,FALSE,FALSE,"End"
"146",2022-02-16,"Wisconsin",1,221,16.3333753547056,12.0590196424974,3.78,"Hosps",6.09,FALSE,FALSE,"End"
"147",2022-02-16,"Wyoming",1,321,20.0428848622656,12.5877387879132,1.4,"Hosps",5.04,FALSE,FALSE,"End"
"148",2022-02-23,"Arizona",1,200,19.000601342242,11.1140642487578,6.16,"Hosps",8.96,FALSE,FALSE,"End"
"149",2022-02-23,"Arkansas",1,222,21.2737474004276,11.872764654182,6.65,"Hosps",8.96,FALSE,FALSE,"End"
"150",2022-02-23,"Maine",1,568,9.15034235671159,10.6792909252129,2.31,"Hosps",8.4,FALSE,FALSE,"End"
"151",2022-02-23,"New Mexico",1,207,12.876586502762,12.1605123807465,4.27,"Hosps",8.82,FALSE,FALSE,"End"
"152",2022-02-23,"North Carolina",1,251,13.7298671520937,13.0256725715503,1.33,"Hosps",5.53,FALSE,FALSE,"End"
"153",2022-02-23,"Oklahoma",1,161,21.0009120612711,12.6668209010452,6.65,"Hosps",8.61,FALSE,FALSE,"End"
"154",2022-02-23,"South Carolina",1,225,13.4596716772382,10.4737035410171,3.08,"Hosps",8.82,FALSE,FALSE,"End"
"155",2022-02-23,"Tennessee",1,255,16.327011143661,13.4237551962426,9.73,"Hosps",9.73,FALSE,FALSE,"End"
"156",2022-02-23,"Vermont",1,226,11.0578872383968,6.02929848232523,0.14,"Hosps",3.22,FALSE,FALSE,"End"
"157",2022-03-02,"Idaho",1,576,6.43513246580287,10.62941732378,1.47,"Hosps",7.7,FALSE,FALSE,"End"
"158",2022-03-02,"Kentucky",1,252,15.9814740246209,10.7734423785431,5.88,"Hosps",8.96,FALSE,FALSE,"End"
"159",2022-03-02,"West Virginia",1,270,22.2637986727651,13.4753435473053,3.22,"Hosps",12.32,FALSE,FALSE,"End"
"160",2022-03-09,"Montana",1,310,10.2921280191022,4.61138228533655,0.84,"Hosps",5.88,FALSE,FALSE,"End"
"161",2022-04-27,"Vermont",5,355,16.1861827692475,5.897858313977,0.98,"Hosps",1.19,FALSE,FALSE,"Start"
"162",2022-05-04,"Massachusetts",5,298,10.0979281401836,3.13640222087348,1.33,"Hosps",1.33,FALSE,FALSE,"Start"
"163",2022-05-04,"New York",6,281,12.2342639478705,5.57575814959413,0.91,"Hosps",0.91,FALSE,FALSE,"Start"
"164",2022-05-11,"Connecticut",3,335,11.2473413781275,4.99961292606112,1.05,"Hosps",1.12,FALSE,FALSE,"Start"
"165",2022-05-11,"Delaware",5,250,12.8367859152731,4.25750019546372,1.47,"Hosps",1.47,FALSE,TRUE,"Start"
